name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Pseudomonas yamanorum	515393	S	154754	5532	160286	0.04160
Pseudomonas monteilii	76759	S	13402	72727	86129	0.02235
Pseudomonas putida	303	S	3849	1803	5652	0.00147
Pseudomonas plecoglossicida	70775	S	214	72	286	0.00007
Pseudomonas oryzihabitans	47885	S	207	1	208	0.00005
Pseudomonas fulva	47880	S	120	143	263	0.00007
Pseudomonas sp. SGAir0191	2217867	S	35	5	40	0.00001
Pseudomonas mosselii	78327	S	18	15	33	0.00001
Pseudomonas aeruginosa	287	S	66077	185327	251404	0.06525
Pseudomonas citronellolis	53408	S	298	5	303	0.00008
Pseudomonas mendocina	300	S	275	5	280	0.00007
Pseudomonas furukawaii	1149133	S	129	2	131	0.00003
Pseudomonas oleovorans	301	S	60	15	75	0.00002
Pseudomonas multiresinivorans	95301	S	77	19	96	0.00003
Pseudomonas nitroreducens	46680	S	55	13	68	0.00002
Pseudomonas resinovorans	53412	S	92	1	93	0.00002
Pseudomonas alcaligenes	43263	S	81	0	81	0.00002
Pseudomonas sp. LTGT-11-2Z	2479393	S	1456	12710	14166	0.00368
Pseudomonas sp. ADAK13	2730847	S	575	29	604	0.00016
Pseudomonas sp. MPC6	2498848	S	508	15	523	0.00014
Pseudomonas sp. SXM-1	2169583	S	503	445	948	0.00025
Pseudomonas sp. NC02	2067572	S	449	424	873	0.00023
Pseudomonas sp. LBUM920	2126069	S	180	162	342	0.00009
Pseudomonas sp. TUM18999	2725477	S	160	3	163	0.00004
Pseudomonas sp. SK	2729423	S	154	4	158	0.00004
Pseudomonas sp. Leaf58	1736226	S	148	3	151	0.00004
Pseudomonas sp. R76	1573711	S	125	6	131	0.00003
Pseudomonas sp. TCU-HL1	1856685	S	120	1	121	0.00003
Pseudomonas sp. NP-1	2599595	S	118	0	118	0.00003
Pseudomonas sp. 13159349	2662034	S	112	178	290	0.00008
Pseudomonas sp. PE08	2604832	S	107	1	108	0.00003
Pseudomonas sp. K2W31S-8	2320867	S	98	0	98	0.00003
Pseudomonas sp. R5-89-07	658644	S	94	6	100	0.00003
Pseudomonas sp. SCB32	2653853	S	93	1	94	0.00002
Pseudomonas sp. DY-1	1755504	S	85	0	85	0.00002
Pseudomonas sp. 02C 26	2054914	S	85	0	85	0.00002
Pseudomonas sp. ATCC 13867	1294143	S	81	1	82	0.00002
Pseudomonas sp. S09G 359	2054919	S	75	3	78	0.00002
Pseudomonas sp. S1-A32-2	2731681	S	73	0	73	0.00002
Pseudomonas sp. SNU WT1	2518644	S	72	1	73	0.00002
Pseudomonas sp. HLS-6	2049589	S	70	1	71	0.00002
Pseudomonas sp. StFLB209	1028989	S	70	0	70	0.00002
Pseudomonas sp. S35	1573719	S	70	3	73	0.00002
Pseudomonas sp. ADAK18	2730848	S	69	1	70	0.00002
Pseudomonas sp. 14181154	2662033	S	59	10	69	0.00002
Pseudomonas sp. FGI182	1259844	S	58	15	73	0.00002
Pseudomonas sp. FDAARGOS_380	2018067	S	58	11	69	0.00002
Pseudomonas sp. ABC1	2748080	S	57	0	57	0.00001
Pseudomonas sp. CMR5c	658630	S	57	3	60	0.00002
Pseudomonas sp. DG56-2	2320270	S	54	0	54	0.00001
Pseudomonas sp. URMO17WK12:I11	1283291	S	50	15	65	0.00002
Pseudomonas sp. CC6-YY-74	1930532	S	48	0	48	0.00001
Pseudomonas sp. 7SR1	1881017	S	47	0	47	0.00001
Pseudomonas sp. R32	1573704	S	47	1	48	0.00001
Pseudomonas sp. XWY-1	2069256	S	46	36	82	0.00002
Pseudomonas sp. ADAK22	2730851	S	45	40	85	0.00002
Pseudomonas sp. NS1(2017)	2025658	S	43	2	45	0.00001
Pseudomonas sp. THAF7b	2587845	S	43	15	58	0.00002
Pseudomonas sp. JY-Q	1338689	S	42	81	123	0.00003
Pseudomonas sp. LG1E9	2219057	S	41	2	43	0.00001
Pseudomonas sp. UW4	1207075	S	40	1	41	0.00001
Pseudomonas sp. CCOS 191	1649877	S	37	3	40	0.00001
Pseudomonas sp. LAB-08	143813	S	37	0	37	0.00001
Pseudomonas sp. IB20	1702250	S	36	2	38	0.00001
Pseudomonas sp. MYb193	1827300	S	36	12	48	0.00001
Pseudomonas sp. LPH1	1898684	S	36	2	38	0.00001
Pseudomonas sp. 31-12	2201356	S	34	1	35	0.00001
Pseudomonas sp. VLB120	69328	S	34	141	175	0.00005
Pseudomonas sp. S34	1573718	S	33	1	34	0.00001
Pseudomonas sp. S-6-2	1931241	S	33	0	33	0.00001
Pseudomonas sp. gcc21	2726989	S	28	0	28	0.00001
Pseudomonas sp. NIBRBAC000502773	2590776	S	27	3	30	0.00001
Pseudomonas sp. M30-35	1981174	S	27	0	27	0.00001
Pseudomonas sp. DTU12.3	2073078	S	26	1	27	0.00001
