name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alcaligenes faecalis	511	S	279780	7602	287382	0.07560
Alcaligenes aquatilis	323284	S	1120	137	1257	0.00033
Pigmentiphaga sp. H8	2488560	S	9355	66	9421	0.00248
Pigmentiphaga aceris	1940612	S	177	1	178	0.00005
Bordetella hinzii	103855	S	862	28	890	0.00023
Bordetella sp. H567	1697043	S	259	9	268	0.00007
Bordetella sp. N	1746199	S	248	4	252	0.00007
Bordetella sp. HZ20	2163011	S	82	0	82	0.00002
Bordetella bronchialis	463025	S	395	4	399	0.00011
Bordetella genomosp. 13	463040	S	360	9	369	0.00010
Bordetella bronchiseptica	518	S	323	584	907	0.00024
Bordetella petrii	94624	S	296	34	330	0.00009
Bordetella flabilis	463014	S	248	1	249	0.00007
Bordetella genomosp. 8	1416806	S	248	2	250	0.00007
Bordetella genomosp. 9	1416803	S	238	6	244	0.00006
Bordetella trematum	123899	S	222	5	227	0.00006
Bordetella pseudohinzii	1331258	S	174	6	180	0.00005
Bordetella avium	521	S	157	1	158	0.00004
Bordetella holmesii	35814	S	125	5	130	0.00003
Bordetella genomosp. 6	463024	S	27	17	44	0.00001
Bordetella parapertussis	519	S	23	136	159	0.00004
Bordetella pertussis	520	S	16	35	51	0.00001
Achromobacter xylosoxidans	85698	S	991	594	1585	0.00042
Achromobacter sp. AONIH1	1758194	S	270	29	299	0.00008
Achromobacter sp. MFA1 R4	1881016	S	211	24	235	0.00006
Achromobacter sp. B7	2282475	S	111	10	121	0.00003
Achromobacter spanius	217203	S	494	32	526	0.00014
Achromobacter denitrificans	32002	S	371	143	514	0.00014
Achromobacter insolitus	217204	S	260	17	277	0.00007
Achromobacter pestifer	1353889	S	164	23	187	0.00005
Achromobacter ruhlandii	72557	S	3	162	165	0.00004
Orrella dioscoreae	1851544	S	373	6	379	0.00010
Castellaniella defragrans	75697	S	287	6	293	0.00008
Pusillimonas sp. ye3	2028345	S	90	1	91	0.00002
Pusillimonas sp. DMV24BSW_D	2716226	S	71	1	72	0.00002
Pusillimonas sp. T7-7	1007105	S	55	0	55	0.00001
Kerstersia gyiorum	206506	S	118	2	120	0.00003
Advenella kashmirensis	310575	S	59	0	59	0.00002
Advenella mimigardefordensis	302406	S	33	0	33	0.00001
Alcaligenaceae bacterium SJ-26	2593958	S	73	0	73	0.00002
Basilea psittacipulmonis	1472345	S	15	0	15	0.00000
Paenalcaligenes hominis	643674	S	5	0	5	0.00000
Oligella urethralis	90245	S	3	0	3	0.00000
Ralstonia mannitolilytica	105219	S	190619	22354	212973	0.05603
Ralstonia solanacearum	305	S	645	112	757	0.00020
Ralstonia pickettii	329	S	415	133	548	0.00014
Ralstonia insidiosa	190721	S	340	15	355	0.00009
Ralstonia pseudosolanacearum	1310165	S	8	7	15	0.00000
blood disease bacterium A2-HR MARDI	1944648	S	3	1	4	0.00000
Cupriavidus taiwanensis	164546	S	1226	318	1544	0.00041
Cupriavidus gilardii	82541	S	764	201	965	0.00025
Cupriavidus pauculus	82633	S	629	113	742	0.00020
Cupriavidus necator	106590	S	550	113	663	0.00017
Cupriavidus metallidurans	119219	S	429	119	548	0.00014
Cupriavidus oxalaticus	96344	S	372	69	441	0.00012
Cupriavidus basilensis	68895	S	344	32	376	0.00010
Cupriavidus campinensis	151783	S	311	87	398	0.00010
Cupriavidus pinatubonensis	248026	S	136	7	143	0.00004
Cupriavidus nantongensis	1796606	S	63	82	145	0.00004
Cupriavidus sp. USMAHM13	1389192	S	10	127	137	0.00004
Cupriavidus sp. USMAA2-4	876364	S	9	88	97	0.00003
Cupriavidus malaysiensis	367825	S	28	389	417	0.00011
Burkholderia cenocepacia	95486	S	270	379	649	0.00017
Burkholderia multivorans	87883	S	208	55	263	0.00007
Burkholderia cepacia	292	S	163	228	391	0.00010
Burkholderia ubonensis	101571	S	142	85	227	0.00006
Burkholderia lata	482957	S	127	51	178	0.00005
Burkholderia stabilis	95485	S	93	45	138	0.00004
Burkholderia contaminans	488447	S	93	38	131	0.00003
Burkholderia pyrrocinia	60550	S	64	32	96	0.00003
Burkholderia stagnalis	1503054	S	64	11	75	0.00002
[Pseudomonas] mesoacidophila	265293	S	61	16	77	0.00002
Burkholderia territorii	1503055	S	56	27	83	0.00002
Burkholderia ambifaria	152480	S	54	61	115	0.00003
Burkholderia seminalis	488731	S	53	20	73	0.00002
Burkholderia metallica	488729	S	41	15	56	0.00001
Burkholderia vietnamiensis	60552	S	32	166	198	0.00005
Burkholderia anthina	179879	S	31	15	46	0.00001
Burkholderia diffusa	488732	S	26	12	38	0.00001
Burkholderia pseudomultivorans	1207504	S	26	25	51	0.00001
Burkholderia latens	488446	S	16	36	52	0.00001
Burkholderia sp. KK1	1855726	S	590	151	741	0.00020
Burkholderia sp. DHOD12	2571746	S	147	1	148	0.00004
Burkholderia sp. THE68	758782	S	110	2	112	0.00003
Burkholderia sp. CCGE1003	640512	S	99	1	100	0.00003
Burkholderia sp. OLGA172	1804984	S	67	1	68	0.00002
Burkholderia sp. IDO3	1705310	S	56	26	82	0.00002
Burkholderia sp. Bp7605	1740163	S	48	1	49	0.00001
Burkholderia sp. LA-2-3-30-S1-D2	1637862	S	34	20	54	0.00001
Burkholderia sp. RPE67	758796	S	32	17	49	0.00001
Burkholderia sp. JP2-270	2217913	S	32	22	54	0.00001
Burkholderia sp. NRF60-BP8	1637853	S	30	24	54	0.00001
Burkholderia sp. MSMB0856	1637869	S	28	21	49	0.00001
Burkholderia sp. YI23	1097668	S	16	8	24	0.00001
Burkholderia sp. PAMC 28687	1795874	S	13	5	18	0.00000
Burkholderia sp. PAMC 26561	1795043	S	11	3	14	0.00000
Burkholderia sp. KBS0801	1179675	S	8	41	49	0.00001
Burkholderia sp. KJ006	416344	S	6	82	88	0.00002
Burkholderia pseudomallei	28450	S	110	213	323	0.00009
Burkholderia thailandensis	57975	S	74	34	108	0.00003
Burkholderia oklahomensis	342113	S	28	5	33	0.00001
Burkholderia sp. BDU8	1385592	S	19	3	22	0.00001
Burkholderia sp. BDU6	1385591	S	14	2	16	0.00000
Burkholderia sp. MSMB0852	1637841	S	12	27	39	0.00001
Burkholderia sp. MSMB617WGS	1637831	S	5	13	18	0.00000
Burkholderia sp. MSMB0266	1637837	S	3	6	9	0.00000
Burkholderia sp. MSMB1588	1636423	S	2	15	17	0.00000
Burkholderia gladioli	28095	S	444	25	469	0.00012
Burkholderia glumae	337	S	173	17	190	0.00005
Burkholderia plantarii	41899	S	141	12	153	0.00004
Burkholderia insecticola	758793	S	81	1	82	0.00002
Paraburkholderia sp. 7MH5	2547399	S	169	13	182	0.00005
Paraburkholderia sp. DHF22	2571748	S	145	9	154	0.00004
Paraburkholderia sp. 7Q-K02	2571747	S	134	12	146	0.00004
Paraburkholderia sp. SOS3	1926494	S	116	2	118	0.00003
Paraburkholderia sp. CCGE1002	640511	S	84	9	93	0.00002
Paraburkholderia sp. Msb3	2604047	S	52	42	94	0.00002
Paraburkholderia aromaticivorans	2026199	S	139	47	186	0.00005
Paraburkholderia caribensis	75105	S	133	60	193	0.00005
Paraburkholderia megapolitana	420953	S	91	1	92	0.00002
Paraburkholderia fungorum	134537	S	76	10	86	0.00002
Paraburkholderia terricola	169427	S	76	9	85	0.00002
Paraburkholderia phenoliruptrix	252970	S	73	28	101	0.00003
Paraburkholderia caffeinilytica	1761016	S	73	10	83	0.00002
Paraburkholderia sprentiae	948107	S	73	6	79	0.00002
Paraburkholderia phymatum	148447	S	64	26	90	0.00002
Paraburkholderia phytofirmans	261302	S	63	26	89	0.00002
Paraburkholderia dokdonella	2211211	S	63	8	71	0.00002
Paraburkholderia xenovorans	36873	S	60	46	106	0.00003
Paraburkholderia graminis	60548	S	54	8	62	0.00002
Paraburkholderia caledonica	134536	S	53	4	57	0.00002
Paraburkholderia terrae	311230	S	44	50	94	0.00002
Paraburkholderia hospita	169430	S	43	35	78	0.00002
Pandoraea pnomenusa	93220	S	212	36	248	0.00007
Pandoraea norimbergensis	93219	S	167	10	177	0.00005
Pandoraea apista	93218	S	132	30	162	0.00004
Pandoraea sp. XY-2	2518599	S	113	11	124	0.00003
Pandoraea pulmonicola	93221	S	107	10	117	0.00003
Pandoraea thiooxydans	445709	S	107	1	108	0.00003
Pandoraea oxalativorans	573737	S	92	43	135	0.00004
Pandoraea faecigallinarum	656179	S	90	17	107	0.00003
Pandoraea vervacti	656178	S	84	21	105	0.00003
Pandoraea fibrosis	1891094	S	63	19	82	0.00002
Pandoraea sputorum	93222	S	58	22	80	0.00002
Lautropia mirabilis	47671	S	136	1	137	0.00004
Chitinimonas arctica	2594795	S	86	0	86	0.00002
Caballeronia sp. SBC2	2705547	S	8	47	55	0.00001
Caballeronia sp. SBC1	2705548	S	2	15	17	0.00000
Polynucleobacter necessarius	576610	S	18	0	18	0.00000
Polynucleobacter sp. LimPoW16	1743162	S	14	0	14	0.00000
Polynucleobacter sp. MWH-UH21B	1743174	S	1	0	1	0.00000
Polynucleobacter paneuropaeus	2527775	S	11	0	11	0.00000
Polynucleobacter asymbioticus	576611	S	3	0	3	0.00000
Polynucleobacter difficilis	556054	S	2	0	2	0.00000
Polynucleobacter duraquae	1835254	S	1	0	1	0.00000
Paraburkholderia rhizoxinica	412963	S	48	0	48	0.00001
Limnobacter sp. SAORIC-580	2732163	S	16	0	16	0.00000
Ephemeroptericola cinctiostellae	2268024	S	7	0	7	0.00000
Mycoavidus cysteinexigens	1553431	S	5	0	5	0.00000
Acidovorax citrulli	80869	S	99455	12673	112128	0.02950
Acidovorax sp. 16-35-5	2743470	S	797	94	891	0.00023
Acidovorax sp. JMULE5	2518343	S	668	68	736	0.00019
Acidovorax sp. KKS102	358220	S	644	129	773	0.00020
Acidovorax sp. RAC01	1842533	S	586	116	702	0.00018
Acidovorax sp. 1608163	2478662	S	570	29	599	0.00016
Acidovorax sp. HDW3	2714923	S	548	30	578	0.00015
Acidovorax sp. T1	1858609	S	410	197	607	0.00016
Acidovorax sp. JS42	232721	S	168	911	1079	0.00028
Acidovorax avenae	80867	S	1651	61	1712	0.00045
Acidovorax carolinensis	553814	S	788	121	909	0.00024
Acidovorax cattleyae	80868	S	472	13	485	0.00013
Acidovorax ebreus	721785	S	99	390	489	0.00013
Variovorax sp. HW608	1034889	S	1070	23	1093	0.00029
Variovorax sp. PMC12	2126319	S	946	160	1106	0.00029
Variovorax sp. PAMC 28711	1795631	S	689	20	709	0.00019
Variovorax sp. RA8	662548	S	631	120	751	0.00020
Variovorax sp. PBS-H4	434008	S	627	81	708	0.00019
Variovorax sp. WDL1	207745	S	625	299	924	0.00024
Variovorax sp. PBL-H6	434009	S	562	429	991	0.00026
Variovorax sp. SRS16	282217	S	275	479	754	0.00020
Variovorax sp. PBL-E5	434014	S	273	533	806	0.00021
Variovorax paradoxus	34073	S	3695	1031	4726	0.00124
Variovorax boronicumulans	436515	S	610	352	962	0.00025
Hydrogenophaga sp. BA0156	2716225	S	1724	248	1972	0.00052
Hydrogenophaga sp. PBC	795665	S	1585	215	1800	0.00047
Hydrogenophaga sp. BPS33	2651974	S	1006	135	1141	0.00030
Hydrogenophaga sp. RAC07	1842537	S	957	269	1226	0.00032
Hydrogenophaga sp. PBL-H3	434010	S	915	289	1204	0.00032
Hydrogenophaga sp. NH-16	2184519	S	404	659	1063	0.00028
Hydrogenophaga sp. PAMC20947	2565558	S	393	6	399	0.00010
Hydrogenophaga pseudoflava	47421	S	418	557	975	0.00026
Hydrogenophaga crassostreae	1763535	S	364	3	367	0.00010
Comamonas aquatica	225991	S	1750	76	1826	0.00048
Comamonas serinivorans	1082851	S	779	17	796	0.00021
Comamonas testosteroni	285	S	724	368	1092	0.00029
Comamonas sp. NLF-7-7	2597701	S	622	83	705	0.00019
Comamonas kerstersii	225992	S	290	14	304	0.00008
Comamonas thiooxydans	363952	S	160	201	361	0.00010
