name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Pseudomonas yamanorum	515393	S	154418	5802	160220	0.04170
Pseudomonas monteilii	76759	S	12903	71103	84006	0.02187
Pseudomonas putida	303	S	2043	1374	3417	0.00089
Pseudomonas oryzihabitans	47885	S	184	1	185	0.00005
Pseudomonas plecoglossicida	70775	S	115	46	161	0.00004
Pseudomonas fulva	47880	S	82	103	185	0.00005
Pseudomonas sp. SGAir0191	2217867	S	10	1	11	0.00000
Pseudomonas mosselii	78327	S	5	5	10	0.00000
Pseudomonas aeruginosa	287	S	64744	194636	259380	0.06751
Pseudomonas mendocina	300	S	257	5	262	0.00007
Pseudomonas citronellolis	53408	S	225	4	229	0.00006
Pseudomonas furukawaii	1149133	S	130	2	132	0.00003
Pseudomonas oleovorans	301	S	40	10	50	0.00001
Pseudomonas nitroreducens	46680	S	43	12	55	0.00001
Pseudomonas multiresinivorans	95301	S	41	13	54	0.00001
Pseudomonas resinovorans	53412	S	67	0	67	0.00002
Pseudomonas alcaligenes	43263	S	62	0	62	0.00002
Pseudomonas sp. LTGT-11-2Z	2479393	S	1458	13374	14832	0.00386
Pseudomonas sp. ADAK13	2730847	S	555	27	582	0.00015
Pseudomonas sp. MPC6	2498848	S	510	16	526	0.00014
Pseudomonas sp. SXM-1	2169583	S	460	376	836	0.00022
Pseudomonas sp. NC02	2067572	S	443	385	828	0.00022
Pseudomonas sp. LBUM920	2126069	S	173	143	316	0.00008
Pseudomonas sp. TUM18999	2725477	S	135	3	138	0.00004
Pseudomonas sp. NP-1	2599595	S	99	0	99	0.00003
Pseudomonas sp. 13159349	2662034	S	95	158	253	0.00007
Pseudomonas sp. R76	1573711	S	90	4	94	0.00002
Pseudomonas sp. SK	2729423	S	79	2	81	0.00002
Pseudomonas sp. R5-89-07	658644	S	78	5	83	0.00002
Pseudomonas sp. PE08	2604832	S	76	0	76	0.00002
Pseudomonas sp. SCB32	2653853	S	74	1	75	0.00002
Pseudomonas sp. ADAK18	2730848	S	74	2	76	0.00002
Pseudomonas sp. S09G 359	2054919	S	71	2	73	0.00002
Pseudomonas sp. K2W31S-8	2320867	S	70	0	70	0.00002
Pseudomonas sp. TCU-HL1	1856685	S	69	0	69	0.00002
Pseudomonas sp. S1-A32-2	2731681	S	67	0	67	0.00002
