name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Listeria monocytogenes	1639	S	417171	16510	433681	0.10712
Listeria grayi	1641	S	195	0	195	0.00005
Listeria welshimeri	1643	S	92	0	92	0.00002
Listeria innocua	1642	S	91	4	95	0.00002
Listeria ivanovii	1638	S	78	340	418	0.00010
Listeria seeligeri	1640	S	45	1	46	0.00001
Listeria sp. PSOL-1	1844999	S	37	0	37	0.00001
Listeria weihenstephanensis	1006155	S	31	0	31	0.00001
Brochothrix thermosphacta	2756	S	6	0	6	0.00000
Bacillus subtilis	1423	S	28169	171138	199307	0.04923
Bacillus vallismortis	72361	S	6614	3076	9690	0.00239
Bacillus tequilensis	227866	S	3231	164	3395	0.00084
Bacillus velezensis	492670	S	1091	7627	8718	0.00215
Bacillus amyloliquefaciens	1390	S	541	3032	3573	0.00088
Bacillus atrophaeus	1452	S	1309	103	1412	0.00035
Bacillus mojavensis	72360	S	925	104	1029	0.00025
Bacillus halotolerans	260554	S	172	467	639	0.00016
Bacillus paralicheniformis	1648923	S	208	20	228	0.00006
Bacillus sonorensis	119858	S	86	3	89	0.00002
Bacillus licheniformis	1402	S	59	314	373	0.00009
Bacillus sp. MD-5	2009331	S	462	820	1282	0.00032
Bacillus sp. JS	1127744	S	253	448	701	0.00017
Bacillus sp. ZY-1-1	2093834	S	135	2934	3069	0.00076
Bacillus sp. NSP9.1	1071078	S	87	0	87	0.00002
Bacillus sp. THAF10	2587848	S	52	0	52	0.00001
Bacillus sp. KH172YL63	2709784	S	41	0	41	0.00001
Bacillus sp. DSL-17	2567941	S	31	0	31	0.00001
Bacillus sp. Lzh-5	2049935	S	30	16627	16657	0.00411
Bacillus sp. N3536	2666127	S	23	2	25	0.00001
Bacillus sp. FJAT-42376	2014076	S	23	0	23	0.00001
Bacillus sp. SB49	1071080	S	19	0	19	0.00000
Bacillus sp. FJAT-45348	2011012	S	19	0	19	0.00000
Bacillus sp. OxB-1	98228	S	17	0	17	0.00000
Bacillus sp. S3	486398	S	16	0	16	0.00000
Bacillus sp. FJAT-18017	1705566	S	16	0	16	0.00000
Bacillus sp. X1(2014)	1565991	S	15	0	15	0.00000
Bacillus sp. L13 (2020)	2728853	S	13	0	13	0.00000
Bacillus sp. Y1	352858	S	13	0	13	0.00000
Bacillus sp. WP8	756828	S	10	3	13	0.00000
Bacillus sp. 1NLA3E	666686	S	8	0	8	0.00000
Bacillus sp. Cs-700	2589818	S	8	0	8	0.00000
Bacillus sp. ms-22	2683680	S	8	15	23	0.00001
Bacillus sp. YP1	1574141	S	7	667	674	0.00017
Bacillus sp. M4U3P1	2592382	S	7	0	7	0.00000
Bacillus sp. AM1(2019)	2665175	S	5	35	40	0.00001
Bacillus sp. FJAT-25496	1742359	S	4	0	4	0.00000
Bacillus sp. FJAT-14266	1837130	S	3	2501	2504	0.00062
Bacillus sp. A260	2660750	S	3	37	40	0.00001
Bacillus sp. LM 4-2	1628753	S	2	1392	1394	0.00034
Bacillus sp. FJAT-22090	1581038	S	2	0	2	0.00000
Bacillus sp. DM2	2267265	S	2	184	186	0.00005
Bacillus sp. N1-1	2682541	S	1	0	1	0.00000
Bacillus cereus	1396	S	709	6990	7699	0.00190
Bacillus thuringiensis	1428	S	427	5360	5787	0.00143
Bacillus anthracis	1392	S	152	1596	1748	0.00043
Bacillus mycoides	1405	S	39	1	40	0.00001
Bacillus toyonensis	155322	S	14	250	264	0.00007
Bacillus pseudomycoides	64104	S	13	0	13	0.00000
Bacillus cytotoxicus	580165	S	10	0	10	0.00000
Bacillus bombysepticus	658666	S	7	27	34	0.00001
Bacillus albus	2026189	S	2	0	2	0.00000
Bacillus sp. HBCD-sjtu	2053832	S	1	0	1	0.00000
Bacillus intestinalis	1963032	S	482	92453	92935	0.02296
Bacillus glycinifermentans	1664069	S	429	10	439	0.00011
Bacillus vietnamensis	218284	S	111	0	111	0.00003
Bacillus megaterium	1404	S	107	129	236	0.00006
Bacillus pumilus	1408	S	95	42	137	0.00003
Bacillus altitudinis	293387	S	81	123	204	0.00005
Bacillus coagulans	1398	S	70	0	70	0.00002
Bacillus gobiensis	1441095	S	66	0	66	0.00002
Bacillus circulans	1397	S	50	0	50	0.00001
Bacillus safensis	561879	S	36	4	40	0.00001
Bacillus lentus	1467	S	35	0	35	0.00001
Bacillus ciccensis	1670641	S	34	0	34	0.00001
Bacillus cohnii	33932	S	32	0	32	0.00001
Bacillus smithii	1479	S	32	0	32	0.00001
Bacillus freudenreichii	1783501	S	29	0	29	0.00001
Bacillus methanolicus	1471	S	29	0	29	0.00001
Bacillus marisflavi	189381	S	27	0	27	0.00001
Bacillus infantis	324767	S	26	0	26	0.00001
Bacillus flexus	86664	S	20	0	20	0.00001
Bacillus filamentosus	1402861	S	19	0	19	0.00000
Bacillus weihaiensis	1547283	S	18	0	18	0.00000
Bacillus simplex	1478	S	10	0	10	0.00000
Bacillus thermoamylovorans	35841	S	9	0	9	0.00000
Bacillus beveridgei	632773	S	8	0	8	0.00000
Bacillus miscanthi	2598861	S	7	0	7	0.00000
Bacillus horikoshii	79883	S	7	0	7	0.00000
[Brevibacterium] frigoritolerans	450367	S	6	0	6	0.00000
Bacillus xiamenensis	1178537	S	3	5	8	0.00000
Bacillus cellulosilyticus	1413	S	2	0	2	0.00000
Alkalihalobacillus halodurans	86665	S	3521	10	3531	0.00087
Alkalihalobacillus pseudofirmus	79885	S	75	0	75	0.00002
Alkalihalobacillus clausii	79880	S	5	0	5	0.00000
Alkalihalobacillus krulwichiae	199441	S	2	0	2	0.00000
Geobacillus thermoleovorans	33941	S	18	36	54	0.00001
Geobacillus subterraneus	129338	S	12	0	12	0.00000
Geobacillus sp. GHH01	1233873	S	4	1	5	0.00000
Geobacillus sp. WCH70	471223	S	3	0	3	0.00000
Geobacillus sp. E263	391290	S	2	0	2	0.00000
Geobacillus sp. C56-T3	691437	S	2	0	2	0.00000
Geobacillus thermodenitrificans	33940	S	6	0	6	0.00000
Geobacillus stearothermophilus	1422	S	4	0	4	0.00000
Geobacillus genomosp. 3	1921421	S	4	0	4	0.00000
Lysinibacillus sp. SGAir0095	2070463	S	25	0	25	0.00001
Lysinibacillus sp. 2017	2169540	S	3	0	3	0.00000
Lysinibacillus sphaericus	1421	S	9	4	13	0.00000
Lysinibacillus timonensis	2086577	S	7	0	7	0.00000
Bacillaceae bacterium TKL69	2594883	S	28	0	28	0.00001
Bacillaceae bacterium C05	2654326	S	2	35	37	0.00001
Gracilibacillus sp. SCU50	2663022	S	21	0	21	0.00001
Virgibacillus halodenitrificans	1482	S	11	0	11	0.00000
Virgibacillus sp. SK37	403957	S	3	0	3	0.00000
Virgibacillus sp. Bac332	2419842	S	2	0	2	0.00000
Virgibacillus sp. MSP4-1	2700081	S	2	0	2	0.00000
Salicibibacter halophilus	2502791	S	13	5	18	0.00000
Cytobacillus kochii	859143	S	12	0	12	0.00000
Anoxybacillus flavithermus	33934	S	4	0	4	0.00000
Anoxybacillus amylolyticus	294699	S	1	0	1	0.00000
Parageobacillus thermoglucosidasius	1426	S	7	0	7	0.00000
Parageobacillus genomosp. 1	1295642	S	3	0	3	0.00000
Parageobacillus toebii	153151	S	1	0	1	0.00000
Aeribacillus pallidus	33936	S	10	0	10	0.00000
Lentibacillus amyloliquefaciens	1472767	S	6	0	6	0.00000
Lentibacillus sp. CBA3610	2518176	S	3	0	3	0.00000
Paraliobacillus sp. X-1125	2213194	S	5	0	5	0.00000
Oceanobacillus kimchii	746691	S	4	0	4	0.00000
Oceanobacillus sp. 160	2052660	S	1	0	1	0.00000
Fictibacillus phosphorivorans	1221500	S	2	0	2	0.00000
Fictibacillus arsenicus	255247	S	1	0	1	0.00000
Halobacillus mangrovi	402384	S	2	0	2	0.00000
Halobacillus halophilus	1570	S	1	0	1	0.00000
Neobacillus mesonae	1193713	S	3	0	3	0.00000
Psychrobacillus glaciei	2283160	S	2	0	2	0.00000
Mesobacillus foraminis	279826	S	2	0	2	0.00000
Peribacillus muralis	264697	S	1	0	1	0.00000
Salimicrobium jeotgali	1230341	S	1	0	1	0.00000
Metabacillus litoralis	152268	S	1	0	1	0.00000
Pontibacillus sp. HMF3514	2692425	S	1	0	1	0.00000
Staphylococcus aureus	1280	S	184048	9503	193551	0.04781
Staphylococcus epidermidis	1282	S	249	3	252	0.00006
Staphylococcus capitis	29388	S	192	2	194	0.00005
Staphylococcus pseudintermedius	283734	S	106	1	107	0.00003
Staphylococcus hominis	1290	S	55	0	55	0.00001
Staphylococcus haemolyticus	1283	S	33	0	33	0.00001
Staphylococcus equorum	246432	S	32	5	37	0.00001
Staphylococcus saprophyticus	29385	S	31	0	31	0.00001
Staphylococcus warneri	1292	S	23	1	24	0.00001
Staphylococcus condimenti	70255	S	19	0	19	0.00000
Staphylococcus lugdunensis	28035	S	19	0	19	0.00000
Staphylococcus sciuri	1296	S	17	0	17	0.00000
Staphylococcus pasteuri	45972	S	14	0	14	0.00000
Staphylococcus schweitzeri	1654388	S	14	0	14	0.00000
Staphylococcus chromogenes	46126	S	11	0	11	0.00000
Staphylococcus sp. M0911	2025492	S	7	1	8	0.00000
Staphylococcus sp. SDB 2975	2044912	S	3	0	3	0.00000
Staphylococcus caprae	29380	S	9	0	9	0.00000
Staphylococcus cohnii	29382	S	9	0	9	0.00000
Staphylococcus simiae	308354	S	9	0	9	0.00000
Staphylococcus auricularis	29379	S	8	0	8	0.00000
Staphylococcus felis	46127	S	8	0	8	0.00000
Staphylococcus argenteus	985002	S	8	3	11	0.00000
Staphylococcus pettenkoferi	170573	S	7	0	7	0.00000
Staphylococcus simulans	1286	S	5	0	5	0.00000
Staphylococcus fleurettii	150056	S	4	0	4	0.00000
Staphylococcus muscae	1294	S	3	0	3	0.00000
Staphylococcus agnetis	985762	S	3	0	3	0.00000
Staphylococcus succinus	61015	S	2	0	2	0.00000
Staphylococcus xylosus	1288	S	2	0	2	0.00000
Staphylococcus lutrae	155085	S	2	0	2	0.00000
Staphylococcus arlettae	29378	S	2	0	2	0.00000
Staphylococcus nepalensis	214473	S	2	0	2	0.00000
Staphylococcus stepanovicii	643214	S	1	0	1	0.00000
Staphylococcus carnosus	1281	S	1	0	1	0.00000
Staphylococcus vitulinus	71237	S	1	0	1	0.00000
Staphylococcus delphini	53344	S	1	0	1	0.00000
Staphylococcus kloosii	29384	S	1	0	1	0.00000
Auricoccus indicus	1849491	S	15	0	15	0.00000
Macrococcus caseolyticus	69966	S	14	0	14	0.00000
Jeotgalicoccus saudimassiliensis	1461582	S	9	0	9	0.00000
Paenibacillus naphthalenovorans	162209	S	194	2	196	0.00005
Paenibacillus larvae	1464	S	88	6	94	0.00002
Paenibacillus sp. RUD330	2023772	S	15	2	17	0.00000
Paenibacillus sp. 14171R-81	2704463	S	14	2	16	0.00000
Paenibacillus sp. 12200R-189	2704462	S	9	1	10	0.00000
Paenibacillus sp. 32O-W	1695218	S	9	0	9	0.00000
Paenibacillus sp. UniB2	2726185	S	3	6	9	0.00000
Paenibacillus sp. JDR-2	324057	S	1	0	1	0.00000
Paenibacillus sp. IHB B 3084	867076	S	1	0	1	0.00000
Paenibacillus sp. URB8-2	2741301	S	1	0	1	0.00000
Paenibacillus sp. FSL R5-0912	1536771	S	1	4	5	0.00000
Paenibacillus sp. BIHB4019	1870819	S	1	0	1	0.00000
Paenibacillus mucilaginosus	61624	S	34	1	35	0.00001
Paenibacillus polymyxa	1406	S	14	12	26	0.00001
Paenibacillus antarcticus	253703	S	14	0	14	0.00000
Paenibacillus thiaminolyticus	49283	S	13	0	13	0.00000
Paenibacillus beijingensis	1126833	S	7	0	7	0.00000
Paenibacillus baekrokdamisoli	1712516	S	6	0	6	0.00000
Paenibacillus protaetiae	2509456	S	4	0	4	0.00000
Paenibacillus durus	44251	S	4	0	4	0.00000
Paenibacillus physcomitrellae	1619311	S	4	0	4	0.00000
Paenibacillus donghaensis	414771	S	4	0	4	0.00000
Paenibacillus psychroresistens	1778678	S	3	0	3	0.00000
Paenibacillus crassostreae	1763538	S	3	0	3	0.00000
Paenibacillus yonginensis	1462996	S	2	0	2	0.00000
Paenibacillus cellulositrophicus	562959	S	2	0	2	0.00000
