name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alcaligenes faecalis	511	S	280300	7384	287684	0.07544
Alcaligenes aquatilis	323284	S	1064	127	1191	0.00031
Pigmentiphaga sp. H8	2488560	S	9176	62	9238	0.00242
Pigmentiphaga aceris	1940612	S	204	1	205	0.00005
Bordetella hinzii	103855	S	900	30	930	0.00024
Bordetella sp. N	1746199	S	261	3	264	0.00007
Bordetella sp. H567	1697043	S	256	6	262	0.00007
Bordetella sp. HZ20	2163011	S	78	0	78	0.00002
Bordetella bronchialis	463025	S	393	4	397	0.00010
Bordetella bronchiseptica	518	S	331	670	1001	0.00026
Bordetella genomosp. 13	463040	S	331	8	339	0.00009
Bordetella petrii	94624	S	300	35	335	0.00009
Bordetella genomosp. 8	1416806	S	288	3	291	0.00008
Bordetella flabilis	463014	S	279	2	281	0.00007
Bordetella genomosp. 9	1416803	S	226	6	232	0.00006
Bordetella trematum	123899	S	209	5	214	0.00006
Bordetella avium	521	S	166	1	167	0.00004
Bordetella pseudohinzii	1331258	S	155	5	160	0.00004
Bordetella holmesii	35814	S	128	5	133	0.00003
Bordetella genomosp. 6	463024	S	23	14	37	0.00001
Bordetella parapertussis	519	S	18	104	122	0.00003
Bordetella pertussis	520	S	12	26	38	0.00001
Achromobacter xylosoxidans	85698	S	952	755	1707	0.00045
Achromobacter sp. AONIH1	1758194	S	291	29	320	0.00008
Achromobacter sp. MFA1 R4	1881016	S	205	22	227	0.00006
Achromobacter sp. B7	2282475	S	151	14	165	0.00004
Achromobacter spanius	217203	S	491	40	531	0.00014
Achromobacter denitrificans	32002	S	360	183	543	0.00014
Achromobacter insolitus	217204	S	278	23	301	0.00008
Achromobacter pestifer	1353889	S	186	31	217	0.00006
Orrella dioscoreae	1851544	S	332	5	337	0.00009
Castellaniella defragrans	75697	S	292	6	298	0.00008
Pusillimonas sp. ye3	2028345	S	81	1	82	0.00002
Pusillimonas sp. DMV24BSW_D	2716226	S	60	0	60	0.00002
Pusillimonas sp. T7-7	1007105	S	55	0	55	0.00001
Kerstersia gyiorum	206506	S	113	2	115	0.00003
Advenella kashmirensis	310575	S	53	0	53	0.00001
Advenella mimigardefordensis	302406	S	45	0	45	0.00001
Alcaligenaceae bacterium SJ-26	2593958	S	89	0	89	0.00002
Basilea psittacipulmonis	1472345	S	14	0	14	0.00000
Paenalcaligenes hominis	643674	S	8	0	8	0.00000
Taylorella asinigenitalis	84590	S	3	2	5	0.00000
Taylorella equigenitalis	29575	S	1	0	1	0.00000
Oligella urethralis	90245	S	1	0	1	0.00000
Pelistega sp. NLN63	2652177	S	1	0	1	0.00000
Ralstonia mannitolilytica	105219	S	191136	22205	213341	0.05595
Ralstonia solanacearum	305	S	672	114	786	0.00021
Ralstonia pickettii	329	S	475	150	625	0.00016
Ralstonia insidiosa	190721	S	360	16	376	0.00010
Ralstonia pseudosolanacearum	1310165	S	7	6	13	0.00000
blood disease bacterium A2-HR MARDI	1944648	S	3	1	4	0.00000
Cupriavidus taiwanensis	164546	S	1287	380	1667	0.00044
Cupriavidus gilardii	82541	S	812	227	1039	0.00027
Cupriavidus pauculus	82633	S	649	131	780	0.00020
Cupriavidus necator	106590	S	603	132	735	0.00019
Cupriavidus oxalaticus	96344	S	437	90	527	0.00014
Cupriavidus metallidurans	119219	S	409	124	533	0.00014
Cupriavidus basilensis	68895	S	365	38	403	0.00011
Cupriavidus campinensis	151783	S	355	110	465	0.00012
Cupriavidus pinatubonensis	248026	S	178	10	188	0.00005
Cupriavidus nantongensis	1796606	S	74	107	181	0.00005
Cupriavidus sp. USMAA2-4	876364	S	15	165	180	0.00005
Cupriavidus sp. USMAHM13	1389192	S	7	99	106	0.00003
Cupriavidus malaysiensis	367825	S	14	219	233	0.00006
Burkholderia cenocepacia	95486	S	277	420	697	0.00018
Burkholderia multivorans	87883	S	249	66	315	0.00008
Burkholderia cepacia	292	S	152	192	344	0.00009
Burkholderia ubonensis	101571	S	147	84	231	0.00006
Burkholderia lata	482957	S	123	45	168	0.00004
Burkholderia stabilis	95485	S	74	34	108	0.00003
Burkholderia contaminans	488447	S	72	27	99	0.00003
Burkholderia pyrrocinia	60550	S	66	31	97	0.00003
Burkholderia stagnalis	1503054	S	64	10	74	0.00002
Burkholderia ambifaria	152480	S	63	68	131	0.00003
[Pseudomonas] mesoacidophila	265293	S	60	14	74	0.00002
Burkholderia territorii	1503055	S	54	24	78	0.00002
Burkholderia seminalis	488731	S	42	15	57	0.00002
Burkholderia vietnamiensis	60552	S	39	189	228	0.00006
Burkholderia metallica	488729	S	33	11	44	0.00001
Burkholderia anthina	179879	S	28	13	41	0.00001
Burkholderia pseudomultivorans	1207504	S	27	24	51	0.00001
Burkholderia diffusa	488732	S	22	10	32	0.00001
Burkholderia latens	488446	S	14	28	42	0.00001
Burkholderia sp. KK1	1855726	S	659	169	828	0.00022
Burkholderia sp. DHOD12	2571746	S	125	1	126	0.00003
Burkholderia sp. CCGE1003	640512	S	103	1	104	0.00003
Burkholderia sp. THE68	758782	S	101	1	102	0.00003
Burkholderia sp. OLGA172	1804984	S	78	2	80	0.00002
Burkholderia sp. IDO3	1705310	S	53	23	76	0.00002
Burkholderia sp. Bp7605	1740163	S	44	1	45	0.00001
Burkholderia sp. MSMB0856	1637869	S	43	31	74	0.00002
Burkholderia sp. JP2-270	2217913	S	40	26	66	0.00002
Burkholderia sp. LA-2-3-30-S1-D2	1637862	S	33	18	51	0.00001
Burkholderia sp. NRF60-BP8	1637853	S	32	25	57	0.00001
Burkholderia sp. RPE67	758796	S	25	13	38	0.00001
Burkholderia sp. PAMC 26561	1795043	S	20	6	26	0.00001
Burkholderia sp. YI23	1097668	S	16	8	24	0.00001
Burkholderia sp. KBS0801	1179675	S	14	68	82	0.00002
Burkholderia sp. PAMC 28687	1795874	S	14	6	20	0.00001
Burkholderia sp. KJ006	416344	S	3	38	41	0.00001
Burkholderia pseudomallei	28450	S	129	222	351	0.00009
Burkholderia thailandensis	57975	S	67	28	95	0.00003
Burkholderia oklahomensis	342113	S	25	4	29	0.00001
Burkholderia sp. BDU8	1385592	S	22	3	25	0.00001
Burkholderia sp. BDU6	1385591	S	15	2	17	0.00000
Burkholderia sp. MSMB0852	1637841	S	8	16	24	0.00001
